item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
,2017-01,7507006.678566667,13688.599999999999,1033.0,172.16666666666666,869.123595505618,2.6249814699900016,22.56101107893277,1.5930467811485347,0.0,13.251306873184896,104.99925879960009,24639.480000000003,1.0,13688.599999999999,1.0,2737.7199999999993,1.0
,2017-02,7489530.002816667,13588.449999999999,830.0,138.33333333333334,864.3631284916202,2.620127573718715,23.76128538723317,1.6911502107698,0.0,16.371626506024096,104.80510294874861,24459.21,1.0,13588.449999999999,1.0,2717.6899999999996,1.0
,2017-03,7852081.288766667,14333.62,639.0,106.5,860.6388888888889,2.775771229383856,28.128909225214567,1.7759663976175162,0.0,22.43133020344288,111.03084917535423,25800.516,1.0,14333.62,1.0,2866.7239999999997,1.0
,2017-04,8095262.9037833335,14795.09,464.0,77.33333333333333,856.6685082872929,2.8784159911086458,35.22803254664922,1.8425463579674728,0.0,31.88596982758621,115.13663964434583,26631.162,1.0,14795.09,1.0,2959.0179999999996,1.0
,2017-05,7710916.91125,14203.23,415.0,69.16666666666667,852.4120879120879,2.7770664371950313,35.35621538287777,1.8444922749726231,0.0,34.22465060240964,111.08265748780126,25565.814000000002,1.0,14203.23,1.0,2840.6459999999997,1.0
,2017-06,4530374.132066667,11593.9,538.0,89.66666666666667,847.8907103825137,2.278969026320538,28.008867965037393,1.8050476253899974,0.0,21.55,91.15876105282153,20869.020000000004,1.0,11593.9,1.0,2318.7799999999993,1.0
,2017-07,2580899.1044833334,8721.71,809.0,134.83333333333334,843.3097826086956,1.7237062385742854,19.403166881398814,1.6409942771570234,0.0,10.780852904820765,68.94824954297144,15699.078000000001,1.0,8721.71,1.0,1744.3419999999999,1.0
,2017-01,4980129.5867,11734.26,1995.0,332.5,2205.5898876404494,0.8867060966135585,6.964952638176935,1.3774468673166504,0.0,5.881834586466166,35.468243864542345,21121.667999999998,1.0,11734.26,1.0,2346.8519999999994,1.0
,2017-02,5458481.1151,12518.640000000001,2045.0,340.8333333333333,2263.8603351955308,0.921629292921815,7.24753805222272,1.3881842372819213,0.0,6.12158435207824,36.8651717168726,22533.552000000003,1.0,12518.640000000001,1.0,2503.7279999999996,1.0
,2017-03,4891503.101049999,11105.369999999999,2056.0,342.6666666666667,2307.95,0.8019649472475573,6.197727866018018,1.2889889093903346,0.0,5.401444552529182,32.0785978899023,19989.666,1.0,11105.369999999999,1.0,2221.0739999999996,1.0
,2017-04,2749432.2998499996,8495.73,1947.0,324.5,2341.292817679558,0.6047748446105706,5.103389778022767,1.2534571470498006,0.0,4.3634976887519255,24.19099378442283,15292.314,1.0,8495.73,1.0,1699.1459999999995,1.0
,2017-05,1579508.2300000002,6091.62,1857.0,309.5,2354.7582417582416,0.43115678798598117,3.7967537411314063,1.1099590614737889,0.0,3.2803554119547655,17.246271519439244,10964.916,1.0,6091.62,1.0,1218.3239999999996,1.0
,2017-06,1234822.8187499999,5276.07,1694.0,282.3333333333333,2349.6284153005463,0.37424853831090604,3.665371668875101,1.0890816880222214,0.0,3.1145631641086187,14.969941532436241,9496.926,1.0,5276.07,1.0,1055.2139999999997,1.0
,2017-07,1848980.9085000001,6934.5,1575.0,262.5,2339.9021739130435,0.4939309056956116,4.420178702995837,1.2551429420578155,0.0,4.402857142857143,19.757236227824464,12482.1,1.0,6934.5,1.0,1386.8999999999996,1.0
,2017-01,2871430.557016667,7815.969999999999,728.0,121.33333333333333,202.80337078651687,6.423274236590117,11.429522563292453,1.5859997476041767,0.0,10.736222527472526,256.93096946360475,14068.746,1.0,7815.969999999999,1.0,1563.1939999999997,1.0
,2017-02,2605761.1064666673,6620.580000000001,657.0,109.5,201.68156424581005,5.471149552643972,9.743102660379833,1.4723453295734028,0.0,10.076986301369864,218.84598210575888,11917.044,1.0,6620.580000000001,1.0,1324.1159999999998,1.0
,2017-03,485648.40566666675,3698.0199999999995,492.0,82.0,201.11111111111111,3.0646574585635356,13.050660341011282,1.4868396502862158,0.0,7.5163008130081295,122.58629834254145,6656.436000000001,1.0,3698.0199999999995,1.0,739.6039999999998,1.0
,2017-04,577387.2282000001,4122.2,314.0,52.333333333333336,201.24861878453038,3.4138536576438074,20.650680182281125,1.6311313559261904,0.0,13.128025477707006,136.5541463057523,7419.96,1.0,4122.2,1.0,824.4399999999998,1.0
,2017-05,2331696.0114,6693.52,287.0,47.833333333333336,201.46703296703296,5.537316206216308,29.54438458479685,1.6787559049550538,0.0,23.322369337979097,221.4926482486523,12048.336,1.0,6693.52,1.0,1338.7039999999997,1.0
,2017-06,2624990.366866667,7561.7,210.0,35.0,200.91803278688525,6.272624292863359,36.68396350483838,1.7553990669074306,0.0,36.00809523809524,250.90497171453438,13611.06,1.0,7561.7,1.0,1512.3399999999995,1.0
,2017-07,2470762.4675333337,7030.599999999999,176.0,29.333333333333332,199.97282608695653,5.8596294786429315,37.51039514325647,1.7613262705293409,0.0,39.94659090909091,234.38517914571725,12655.08,1.0,7030.599999999999,1.0,1406.1199999999997,1.0
,2017-01,1314734.1102166667,6386.7699999999995,835.0,139.16666666666666,150.52808988764045,7.071515140205518,9.148967698003188,1.5809102676550957,0.0,7.648826347305389,282.86060560822074,11496.186,1.0,6386.7699999999995,1.0,1277.3539999999998,1.0
,2017-02,1077348.7164833331,5641.79,723.0,120.5,149.80446927374302,6.276837653054882,9.98198245169161,1.6011575528939297,0.0,7.803305670816044,251.07350612219523,10155.222000000002,1.0,5641.79,1.0,1128.3579999999997,1.0
,2017-03,583790.6038833334,4215.61,579.0,96.5,149.69444444444446,4.693572091297086,9.34900419505272,1.5571124696698833,0.0,7.280846286701208,187.74288365188343,7588.098000000001,1.0,4215.61,1.0,843.1219999999998,1.0
,2017-04,348685.17621666664,3177.51,430.0,71.66666666666667,150.28729281767957,3.5238175501801337,8.869278145811744,1.5097129605466513,0.0,7.389558139534884,140.95270200720532,5719.518000000001,1.0,3177.51,1.0,635.5019999999998,1.0
,2017-05,5231779.1937666675,8115.24,362.0,60.333333333333336,151.52747252747253,8.926038146348539,20.36819516212876,1.622369429112598,0.0,22.417790055248616,357.04152585394155,14607.432,1.0,8115.24,1.0,1623.0479999999998,1.0
,2017-06,5294703.628716667,8289.03,392.0,65.33333333333333,151.56830601092895,9.1147353715254,19.742092515013926,1.613658203363217,0.0,21.145484693877552,364.58941486101594,14920.254,1.0,8289.03,1.0,1657.8059999999996,1.0
,2017-07,5535079.8312,9025.3,427.0,71.16666666666667,151.27717391304347,9.94344769774265,20.346719965994318,1.6231803582399094,0.0,21.136533957845433,397.73790790970594,16245.54,1.0,9025.3,1.0,1805.0599999999995,1.0
,2017-01,1153044.9513333335,5117.9400000000005,8162.0,1360.3333333333333,2820.6573033707864,0.30240823618687973,0.798329331993307,0.55299197925217,0.0,0.6270448419505024,12.096329447475188,6535.188,0.6666666666666666,5117.9400000000005,0.6666666666666666,3700.692,0.6666666666666666
,2017-02,923040.3240833334,4300.170000000001,6889.0,1148.1666666666667,2839.9385474860337,0.2523628550464347,0.809712283731339,0.47383610857730973,0.0,0.6242081579329367,10.094514201857386,7067.4580000000005,0.8333333333333334,4300.170000000001,0.8333333333333334,1532.882,0.8333333333333334
,2017-03,618662.7126833333,3146.1899999999996,5764.0,960.6666666666666,2939.177777777778,0.17840533633744882,0.7432478991188837,0.4361139739112032,0.0,0.5458344899375434,7.136213453497955,4990.294,0.8333333333333334,3146.1899999999996,0.8333333333333334,1302.086,0.8333333333333334
,2017-04,629565.1741333334,3249.66,4756.0,792.6666666666666,3041.779005524862,0.178056985407638,0.8874063367551334,0.5219589244455962,0.0,0.6832758620689655,7.12227941630552,5176.54,0.8333333333333334,3249.66,0.8333333333333334,1322.78,0.8333333333333334
,2017-05,1637877.8799166668,5324.47,3723.0,620.5,3072.543956043956,0.2888198441949227,1.9644878289323948,0.7203979282445602,0.0,1.4301557883427345,11.552793767796906,9584.046,1.0,5324.47,1.0,1064.8939999999998,1.0
,2017-06,2253797.11205,7232.01,2754.0,459.0,3071.562841530055,0.39241749629956446,2.9190175461438828,0.9656906869970726,0.0,2.6260021786492374,15.69669985198258,13017.618,1.0,7232.01,1.0,1446.4019999999998,1.0
,2017-07,1887417.6677666667,6450.5199999999995,2480.0,413.3333333333333,3061.0271739130435,0.35121761604368146,2.906504187058095,0.9634347353792823,0.0,2.6010161290322578,14.048704641747259,11610.936,1.0,6450.5199999999995,1.0,1290.1039999999998,1.0
,2017-01,30955200.460866664,27955.06,35710.0,5951.666666666667,2303.38202247191,2.0227546369692506,0.7258230313811985,1.226836272334266,0.0,0.782835620274433,80.91018547877002,5591.012000000001,0.0,27955.06,0.0,50319.10800000001,0.0
,2017-02,31081274.077549998,28507.969999999998,35015.0,5835.833333333333,2292.5195530726255,2.072535576398992,0.8135362685062991,1.3803778154017294,0.0,0.8141645009281736,82.90142305595967,5701.594000000001,0.0,28507.969999999998,0.0,51314.346,0.0
,2017-03,29093182.667699996,25807.999999999996,31776.0,5296.0,2280.5,1.8861360812687276,0.8760435938862533,1.2320193321088122,0.0,0.8121852970795568,75.44544325074911,6536.048000000001,0.16666666666666666,25807.999999999996,0.16666666666666666,45079.952,0.16666666666666666
,2017-04,22405906.1875,19616.019999999997,24869.0,4144.833333333333,2276.657458563536,1.4360248417561527,0.7921776488298732,1.0508702956457325,0.0,0.7887739756323132,57.44099367024612,5297.652,0.16666666666666666,19616.019999999997,0.16666666666666666,33934.388,0.16666666666666666
,2017-05,6053468.200300002,9874.54,12564.0,2094.0,2279.9835164835163,0.72182831795423,0.7476872394588586,0.9041730233479598,0.0,0.7859391913403375,28.8731327181692,3613.6440000000002,0.3333333333333333,9874.54,0.3333333333333333,16135.436000000003,0.3333333333333333
,2017-06,1313180.0420499998,5275.629999999999,5908.0,984.6666666666666,2295.2131147540986,0.383089335371312,1.0242845882359362,0.8774240819324275,0.0,0.8929637779282328,15.323573414852484,3962.294,0.5,5275.629999999999,0.5,6588.966,0.5
,2017-07,390855.7272666667,3011.6,3323.0,553.8333333333334,2309.429347826087,0.21734084820815733,0.9387210221252961,0.6912047722990331,0.0,0.9062894974420704,8.693633928326292,3653.6960000000004,0.6666666666666666,3011.6,0.6666666666666666,2369.504,0.6666666666666666
,2017-01,11623800.143583335,14629.23,3321.0,553.5,442.9555555555556,5.504400993327647,3.9918850479205297,1.1319184923361503,0.0,4.405067750677507,220.17603973310588,26157.926000000003,0.8333333333333334,14629.23,0.8333333333333334,3100.5339999999997,0.8333333333333334
,2017-02,11608243.6969,14536.460000000001,3355.0,559.1666666666666,449.42541436464086,5.390757300092609,3.8352388648268403,1.102440312327343,0.0,4.332774962742176,215.63029200370434,25990.940000000002,0.8333333333333334,14536.460000000001,0.8333333333333334,3081.979999999999,0.8333333333333334
,2017-03,12059698.948883334,15671.050000000001,3239.0,539.8333333333334,471.6043956043956,5.538204671140522,5.523848425838746,1.2066277913028893,0.0,4.838237110219204,221.5281868456209,28033.202,0.8333333333333334,15671.050000000001,0.8333333333333334,3308.8979999999992,0.8333333333333334
,2017-04,12154209.574833333,16322.78,2794.0,465.6666666666667,496.9672131147541,5.474130408488648,6.623485913014945,1.4279317163552678,0.0,5.842083035075161,218.96521633954586,29381.004,1.0,16322.78,1.0,3264.5559999999987,1.0
,2017-05,5593953.040783334,10914.69,2289.0,381.5,509.5217391304348,3.5702402082088915,6.273532897587174,1.4166350989143115,0.0,4.768322411533421,142.80960832835567,19646.442,1.0,10914.69,1.0,2182.9379999999996,1.0
,2017-06,2258433.535383333,8104.23,1497.0,249.5,512.7567567567568,2.6342022454142944,8.201369642422797,1.471541661624444,0.0,5.413647294589178,105.36808981657177,14587.614000000001,1.0,8104.23,1.0,1620.8459999999995,1.0
,2017-07,1568396.0616333333,6116.48,864.0,144.0,510.85483870967744,1.9955048990201958,7.822916915467712,1.3274597424251684,0.0,7.079259259259259,79.82019596080784,11009.664,1.0,6116.48,1.0,1223.2959999999996,1.0
,2017-01,7869684.93985,13369.429999999998,5251.0,875.1666666666666,1924.5898876404494,1.1577730651308562,2.3049545846143373,0.9750134712895244,0.0,2.546073128927823,46.31092260523425,23684.174000000003,0.8333333333333334,13369.429999999998,0.8333333333333334,3054.6859999999992,0.8333333333333334
,2017-02,7484533.843900002,12787.6,4531.0,755.1666666666666,1962.9832402234638,1.0857284071483186,2.8829966075973634,1.045791086628112,0.0,2.822246744647981,43.42913628593275,22636.88,0.8333333333333334,12787.6,0.8333333333333334,2938.3199999999997,0.8333333333333334
,2017-03,6808668.264100001,10894.26,4073.0,678.8333333333334,2007.2166666666667,0.9045909343784511,2.504139617228979,0.9133067457210974,0.0,2.674750797937638,36.18363737513804,19228.868000000006,0.8333333333333334,10894.26,0.8333333333333334,2559.6519999999996,0.8333333333333334
,2017-04,2065305.6435666669,5599.579999999999,2949.0,491.5,2043.3867403314916,0.45672378846009987,1.865121312119918,0.7212917749038142,0.0,1.898806375042387,18.268951538404,9698.444000000001,0.8333333333333334,5599.579999999999,0.8333333333333334,1500.716,0.8333333333333334
,2017-05,2037193.8306333337,5351.5199999999995,2312.0,385.3333333333333,2063.032967032967,0.4323343418417352,1.9592908164591487,0.7683855549679031,0.0,2.3146712802768166,17.29337367366941,9251.936,0.8333333333333334,5351.5199999999995,0.8333333333333334,1451.1039999999998,0.8333333333333334
,2017-06,538194.8346333333,2799.1200000000003,1752.0,292.0,2059.5956284153003,0.2265104827198294,1.6717429493293954,0.7208248489683772,0.0,1.5976712328767124,9.060419308793174,4657.616,0.8333333333333334,2799.1200000000003,0.8333333333333334,940.6239999999999,0.8333333333333334
,2017-07,614239.8000333334,3277.3,1530.0,255.0,2048.8097826086955,0.2666019419192656,1.9635343388341997,0.8027670228957365,0.0,2.14202614379085,10.664077676770626,5899.139999999999,1.0,3277.3,1.0,655.4599999999999,1.0
,2017-01,56306873.74816667,42833.8,51163.0,8527.166666666666,3373.275280898876,2.116330886806353,0.8420388964335502,1.4891889292431726,0.0,0.8372026659890938,84.65323547225411,8566.76,0.0,42833.8,0.0,77100.84,0.0
,2017-02,53754802.42675,40725.71000000001,49471.0,8245.166666666666,3418.7206703910615,1.9854264175835432,0.8171769224059743,1.4075230394888465,0.0,0.8232239089567627,79.41705670334171,8145.142000000001,0.0,40725.71000000001,0.0,73306.278,0.0
,2017-03,48942045.798433326,36113.22,44988.0,7498.0,3533.9166666666665,1.7031725894309901,0.7490698808774732,1.2522925491898842,0.0,0.8027300613496933,68.1269035772396,7222.643999999999,0.0,36113.22,0.0,65003.796,0.0
,2017-04,35070537.92136666,27848.859999999997,36849.0,6141.5,3641.988950276243,1.2744345823220065,0.6894861180911852,1.0914945955201434,0.0,0.7557561941979428,50.97738329288026,5569.772,0.0,27848.859999999997,0.0,50127.948000000004,0.0
,2017-05,25659300.54803333,20416.98,29082.0,4847.0,3693.1098901098903,0.9213996066330826,0.5681515285092836,0.8897954244752393,0.0,0.7020486899112853,36.8559842653233,4216.292,0.16666666666666666,20416.98,0.16666666666666666,36617.668000000005,0.16666666666666666
,2017-06,5789859.2826999985,10402.779999999999,18686.0,3114.3333333333335,3678.8360655737706,0.4712894610584542,0.5008195922765858,0.7302144578995825,0.0,0.5567151878411645,18.85157844233817,2213.452,0.16666666666666666,10402.779999999999,0.16666666666666666,18592.108,0.16666666666666666
,2017-07,1600826.68975,6084.85,12264.0,2044.0,3678.858695652174,0.2756674693336879,0.46699832515468226,0.6687262543875391,0.0,0.49615541422048276,11.026698773347514,1349.866,0.16666666666666666,6084.85,0.16666666666666666,10819.834,0.16666666666666666
,2017-01,3092287.079733333,8313.36,6162.0,1027.0,583.0449438202247,2.3764205738952806,1.7989378684745099,0.8899238486593575,0.0,1.3491333982473224,95.05682295581121,12720.768000000002,0.6666666666666666,8313.36,0.6666666666666666,3905.952,0.6666666666666666
,2017-02,2910597.9964,7355.0,6072.0,1012.0,592.8826815642458,2.0675816168202577,1.4196011052631279,0.7438437021040137,0.0,1.2112977602108037,82.70326467281032,10995.720000000001,0.6666666666666666,7355.0,0.6666666666666666,3714.28,0.6666666666666666
,2017-03,3640528.9778499994,9214.01,4752.0,792.0,614.5055555555556,2.499030837800942,2.6219315487922015,0.9780752375052165,0.0,1.9389751683501684,99.96123351203768,14739.426000000001,0.8333333333333334,9214.01,0.8333333333333334,3688.594,0.8333333333333334
,2017-04,3746902.8767166673,9463.63,3224.0,537.3333333333334,645.3425414364641,2.4440844441400484,3.8844238234405766,1.0749080925325674,0.0,2.935369106699752,97.76337776560193,17034.534,1.0,9463.63,1.0,1892.7259999999994,1.0
,2017-05,1649653.6600499998,6641.13,2400.0,400.0,673.8846153846154,1.6424992865704013,4.343726032959201,1.1115054295334321,0.0,2.7671375,65.69997146281605,11954.034,1.0,6641.13,1.0,1328.2259999999997,1.0
,2017-06,1570821.6786999998,6068.66,1609.0,268.1666666666667,679.9289617486339,1.4875720703705786,4.345635078496806,1.1125285659876447,0.0,3.7716967060285893,59.50288281482315,10923.588,1.0,6068.66,1.0,1213.7319999999997,1.0
,2017-07,1427187.661916667,5753.1900000000005,1247.0,207.83333333333334,679.8423913043479,1.4104224924255142,5.023386767775869,1.1754718115438347,0.0,4.613624699278268,56.416899697020575,10355.742000000002,1.0,5753.1900000000005,1.0,1150.638,1.0
,2017-01,3987056.2098,6862.219999999999,7347.0,1224.5,1723.2134831460673,0.6637037978865371,1.6216610996242007,0.489436164132054,0.0,0.934016605417177,26.54815191546149,12232.011999999999,0.8333333333333334,6862.219999999999,0.8333333333333334,1492.4279999999997,0.8333333333333334
,2017-02,4463116.33105,8478.97,6623.0,1103.8333333333333,1739.3072625698323,0.812485348091237,2.4880706501217986,0.7186659613888419,0.0,1.280231013136041,32.49941392364947,15262.145999999999,1.0,8478.97,1.0,1695.7939999999994,1.0
,2017-03,13893129.09385,15939.01,5452.0,908.6666666666666,1758.6722222222222,1.5105155088592719,6.461111422195544,1.01940733553114,0.0,2.9235161408657375,60.42062035437087,28690.218,1.0,15939.01,1.0,3187.801999999999,1.0
,2017-04,17953080.563533332,20377.32,3753.0,625.5,1759.7127071823204,1.9299854948698305,10.4701961619769,1.2870082963875278,0.0,5.429608313349321,77.19941979479322,36679.176,1.0,20377.32,1.0,4075.463999999999,1.0
,2017-05,17933209.37735,20271.55,2625.0,437.5,1750.8351648351647,1.9297028838147363,10.74009102150334,1.395407543787713,0.0,7.722495238095238,77.18811535258945,36488.78999999999,1.0,20271.55,1.0,4054.309999999999,1.0
,2017-06,17919380.354949996,20220.19,2007.0,334.5,1742.863387978142,1.9336177981087586,10.991716832548109,1.474930712299859,0.0,10.074833084205281,77.34471192435034,36396.342,1.0,20220.19,1.0,4044.0379999999996,1.0
,2017-07,14198067.374666663,15954.48,1995.0,332.5,1734.891304347826,1.5327069732472902,9.795621369026959,1.3062521862060612,0.0,7.997233082706766,61.30827892989159,28718.064,1.0,15954.48,1.0,3190.8959999999997,1.0
,2017-01,197918123.5627167,52672.990000000005,22088.0,3681.3333333333335,10055.58988764045,0.873030002691033,2.198507169896932,1.2025918217562153,0.0,2.3846880659181457,34.92120010764132,81360.37400000001,0.5,52672.990000000005,0.5,23985.605999999996,0.5
,2017-02,193147046.29493335,47512.4,18988.0,3164.6666666666665,10274.061452513966,0.7707500456302696,2.010297841539089,1.107378127290637,0.0,2.5022329892563726,30.830001825210786,72071.312,0.5,47512.4,0.5,22953.487999999998,0.5
,2017-03,211934538.30045,54701.229999999996,15110.0,2518.3333333333335,10919.638888888889,0.8349059670776658,5.278370533588427,1.1049698424633236,0.0,3.6202005294506945,33.39623868310664,91804.59800000001,0.6666666666666666,54701.229999999996,0.6666666666666666,17597.861999999997,0.6666666666666666
